-3.8,0.52,-12.2,19.2
-4.8,0.55,-12.4,19.3
-5.5,0.57,-12.6,19.9
-6.2,0.63,-12.1,20.4
-6.5,0.65,-12,20.6
-6.8,0.66,-12,20.7
-7.1,0.67,-12.1,21.1
-7.8,0.8,-10.6,21
-8.4,0.83,-10.7,21
-8.9,0.81,-11.5,21.5
-9.5,0.81,-12.1,21.7
-9.4,0.76,-12.8,21.3
-9.3,0.76,-12.7,21.5
-9.5,0.76,-12.9,21.6
-9.9,0.78,-13,22
-10,0.79,-12.9,22.7
-8.7,0.73,-12.6,23.2
-7.1,0.66,-12.3,23.7
-5.3,0.62,-11.4,23.9
-4.2,0.54,-12.1,23.5
-3.5,0.53,-11.7,22.9
-2.6,0.49,-11.8,22.4
-1.6,0.44,-12.2,22.2
-1.9,0.42,-13.1,22.3
-2.8,0.46,-12.8,22.7
-3.7,0.5,-12.6,23.1
-4.7,0.52,-13,23.9
-6,0.6,-12.5,24.1
-6.9,0.65,-12.3,24
-6.9,0.69,-11.6,24
-7.4,0.74,-11.2,24.2
-8,0.77,-11.3,24.1
-8.5,0.8,-11.3,24.3
-9.1,0.82,-11.6,25
-9.2,0.84,-11.4,25.4
-9.6,0.85,-11.6,25.4
-9.9,0.86,-11.8,25.3
-10.2,0.87,-11.9,25.2
-10.5,0.88,-12.1,25.7
-10.6,0.89,-12,26.1
-8.8,0.87,-10.5,26.7
-5.3,0.76,-8.8,27.1
-2.7,0.64,-8.5,27.1
-1.6,0.53,-9.9,26.5
-0.7,0.48,-10.3,25.6
0.1,0.45,-10.4,25.1
0.7,0.42,-10.7,24.9
0.7,0.4,-11.3,24.8
-0.1,0.44,-10.9,24.9
-1.7,0.49,-11,25.4
-3,0.52,-11.4,26
-3.9,0.56,-11.4,26.2
-4.8,0.6,-11.3,26.6
-5.1,0.64,-10.8,27
-5.8,0.69,-10.5,27
-6.1,0.73,-10.1,27.1
-6.9,0.75,-10.5,26.9
-7.6,0.79,-10.6,27
-8.3,0.81,-10.9,26.9
-8.9,0.84,-11.1,26.4
-9.3,0.85,-11.3,26.4
-9.7,0.86,-11.6,26.6
-10.2,0.87,-11.9,27.3
-10.4,0.88,-12,28
-8.9,0.86,-10.8,28.2
-5.1,0.75,-8.8,28.6
-2.3,0.63,-8.4,28.5
-0.4,0.49,-9.8,27.6
1,0.43,-10.2,26.2
1.5,0.42,-10,25.1
2.3,0.42,-9.3,24.7
1.8,0.43,-9.4,24.5
0.5,0.46,-9.8,24.4
-0.9,0.52,-9.5,24.4
-1.9,0.56,-9.5,24.7
-2.6,0.6,-9.3,24.8
-3.5,0.65,-9.1,25
-4.3,0.68,-9.3,25
-4.9,0.73,-9,25.3
-5.7,0.76,-9.2,25.5
-6.3,0.79,-9.3,25.2
-7.1,0.79,-10.1,24.5
-7.5,0.84,-9.7,23.8
-8,0.84,-10.2,23.8
-8.3,0.87,-10,23.5
-9,0.87,-10.7,23.7
-9.5,0.86,-11.4,23.8
-9.2,0.89,-10.6,23.5
-7.3,0.86,-9.2,24
-4.3,0.75,-8,23
-1.5,0.62,-7.8,22.6
1.4,0.56,-6.4,21.2
3.3,0.51,-5.8,19.7
4.8,0.43,-6.7,18.5
6.3,0.35,-8,17.9
5.3,0.24,-13.6,17.1
4.6,0.32,-10.7,16.7
3.1,0.43,-8.2,17
2.1,0.49,-7.5,17
1.8,0.63,-4.5,16.1
2.2,0.64,-3.9,15.4
2.1,0.62,-4.4,14.8
2.1,0.6,-4.8,13.9
2,0.6,-4.9,13.5
3.9,0.66,-1.8,12.8
4.8,0.69,-0.4,12.5
4.4,0.87,2.4,12
3.9,0.91,2.5,13.3
3,0.87,1,14.6
1.8,0.82,-0.9,15.7
0.8,0.84,-1.6,17.4
-0.2,0.7,-5,18.8
-0.3,0.66,-5.8,19.1
0.2,0.63,-6,20.4
0.8,0.49,-8.7,20.4
1.8,0.45,-8.8,20.2
2.4,0.37,-10.8,19.7
3.5,0.32,-11.6,19.4
3.9,0.24,-14.8,19.4
3.8,0.26,-13.9,19.3
2.5,0.3,-13.3,19.7
0.2,0.4,-11.8,20.3
-1.6,0.47,-11.4,21.1
-2.4,0.52,-10.9,21.2
-3,0.55,-10.7,21.7
-3.7,0.56,-11.2,21.7
-4.2,0.59,-11,21.7
-4.3,0.64,-10.1,21.9
-4.9,0.68,-9.9,21.9
-5.4,0.68,-10.3,22.3
-5.9,0.73,-9.9,21.9
-6.3,0.76,-9.8,21.1
-6.9,0.78,-10,20.7
-7.2,0.79,-10.2,20.7
-7.5,0.8,-10.3,20.8
-7.4,0.84,-9.6,20.7
-5.8,0.8,-8.7,21
-2.7,0.7,-7.4,20.6
0,0.51,-8.9,19.9
3,0.4,-9.3,19.2
4.5,0.32,-10.8,18.1
7.2,0.29,-9.6,16.8
7.8,0.26,-10.5,15.8
7.2,0.24,-12,15.1
6.5,0.28,-10.7,15.6
4.6,0.4,-7.8,16.6
3.7,0.42,-8,16.6
2.9,0.45,-7.8,16.1
2.3,0.5,-7,16.1
2,0.52,-6.8,15.6
1.6,0.52,-7.2,15
1.8,0.56,-6,14.4
1.7,0.57,-5.9,14.1
1.6,0.56,-6.2,14.3
1.8,0.61,-4.9,13.9
1.8,0.61,-4.9,13.6
1.8,0.63,-4.5,13.1
1.8,0.65,-4,13.3
1.8,0.68,-3.4,13
1.7,0.71,-3,12.7
1.4,0.87,-0.5,12.3
1.7,0.89,0,11.9
2.7,0.84,0.2,10.7
3.4,0.8,0.2,10.2
3.8,0.79,0.4,8.9
